e,name,sum,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122
10,Eibergen,191,9,4,3,-1,9,0,4,-2,2,1,1,0,4,2,-2,3,1,-2,1,1,0,1,1,1,3,9,3,4,1,-3,1,0,4,-2,1,-2,1,3,0,4,1,3,-1,9,1,0,1,1,1,-3,-1,1,0,9,3,-1,0,0,-1,3,-3,4,1,1,0,1,3,0,0,4,4,1,-3,1,9,-3,-2,-3,3,2,0,0,-3,-3,1,-1,0,0,4,-1,3,-2,-3,9,2,1,4,-1,4,-1,2,1,4,9,9,9,-3,4,2,-2,-2,3,1,1,9,0,9,-3,1,4,-3,9
11,Elburg,256,9,-2,3,9,9,3,2,-3,3,2,3,-1,3,9,1,-1,1,9,0,1,1,4,-2,-2,9,-3,1,1,0,1,1,-2,9,0,4,0,2,4,0,0,2,0,0,3,9,0,-2,-2,1,2,9,-1,0,0,-2,4,4,-1,-3,4,1,4,0,0,2,9,4,-2,3,3,4,9,1,-2,0,0,-3,4,1,-1,1,0,1,4,9,2,9,1,1,9,0,0,0,1,9,-1,0,1,-1,9,-3,0,-3,9,0,4,2,9,-3,3,4,4,4,0,3,2,3,9,1,4,-2,-1
12,Epe,188,1,4,-1,-2,-3,-3,4,1,1,-2,-2,1,1,-1,9,-3,2,9,-3,-2,3,-1,9,1,9,-1,9,4,4,1,2,1,-2,1,1,3,0,-2,3,3,1,4,1,1,2,-3,-2,1,-1,0,0,9,1,-2,9,1,1,1,0,0,9,9,1,2,-2,1,-3,9,-1,1,-1,0,-3,1,1,3,1,-1,0,4,1,1,0,-1,1,3,-2,4,0,-2,4,-1,1,1,1,1,0,4,-3,0,0,9,9,1,-3,1,9,0,-3,1,9,3,0,0,4,-3,-3,1,4,9,4,9
13,Ermelo,185,3,4,-1,3,1,3,2,4,4,1,1,0,2,4,1,-2,-2,-2,1,4,1,1,-1,4,0,-3,4,1,-1,-2,4,9,2,3,9,3,1,9,0,-2,-2,0,-1,4,0,3,9,1,0,0,4,-1,0,9,1,-3,1,-3,-3,4,-3,4,2,0,3,0,0,0,-1,2,1,1,1,9,3,2,1,1,-2,4,-1,1,1,2,1,9,4,1,0,-3,1,4,2,9,-3,-2,3,1,3,-3,4,2,-1,9,1,2,9,4,1,-2,-3,1,1,4,1,0,0,0,0,-1,-2,1
14,Geldermalsen,267,0,1,-1,1,0,2,-3,4,4,1,9,1,-1,1,4,1,1,-2,9,4,-3,-3,9,3,1,9,1,9,0,1,3,9,0,-3,2,2,1,1,1,0,-3,0,1,4,1,1,4,-3,-3,4,3,0,-1,4,9,9,-3,0,4,4,9,1,0,9,9,1,9,0,9,-1,9,-2,3,0,9,1,4,1,4,9,-1,0,1,1,-3,-1,4,9,-1,9,3,2,2,9,1,-1,4,0,-2,-1,-3,9,3,-2,1,9,3,-1,4,0,4,-3,1,0,0,0,4,2,-1,3,1,0
15,Gendringen,306,-1,-2,1,1,-1,1,-3,1,9,-1,1,9,0,3,4,-2,0,1,9,-2,-1,4,3,-3,3,9,1,1,9,1,9,9,2,0,3,3,-3,3,4,4,0,3,2,0,4,1,4,-2,-1,4,9,-3,1,2,0,-1,4,9,-1,0,4,9,1,1,9,-2,-3,1,-2,1,9,0,3,-1,0,9,9,1,3,2,0,1,4,1,-3,0,9,4,1,9,0,-2,4,4,4,9,2,-1,0,9,1,4,4,3,-1,9,4,1,1,1,4,9,1,-1,9,4,1,1,9,3,9,-3
16,Gorssel,158,-2,-2,4,1,1,0,2,-1,0,-2,-1,-2,9,9,1,-3,-3,9,4,0,9,1,0,-3,0,-1,0,0,9,9,4,1,0,-2,-1,1,2,4,0,1,-2,1,0,1,-1,1,-1,-3,4,2,9,-2,3,4,1,-3,-2,9,4,-2,1,4,3,-2,1,4,-1,2,-2,0,2,-2,2,3,4,-3,4,-3,9,2,9,2,0,3,1,-2,1,0,-1,-3,9,0,1,9,3,-3,0,1,2,1,4,-2,-1,1,1,-3,1,0,3,1,9,0,1,-2,2,1,1,1,-1,1,-2,0
17,Groenlo,205,-3,-2,1,1,4,-3,1,9,1,9,1,2,0,-3,1,-2,0,-1,1,4,9,-1,2,4,2,4,9,0,2,1,0,4,3,1,2,1,9,3,1,4,-2,1,0,-2,0,9,-1,-3,0,9,0,9,1,-2,0,1,1,3,9,1,4,0,9,9,4,1,9,2,-3,0,0,1,1,3,-3,4,-3,-2,-1,0,-3,0,3,-2,4,1,0,0,-2,-2,2,0,9,9,1,1,-2,4,1,1,3,0,-1,3,1,-1,1,-2,0,1,4,1,-1,-2,2,4,4,1,2,3,-2,9
18,Belgium,238,9,9,1,4,-3,0,-2,9,-3,3,2,-2,-1,1,4,1,4,0,1,-1,0,2,-3,-2,-3,-2,1,1,1,3,1,3,1,0,-2,1,1,-1,1,9,3,-2,0,3,-3,0,2,9,2,2,3,4,4,0,3,9,0,9,4,-1,0,-2,1,9,-1,1,4,0,1,1,4,3,1,0,4,9,3,9,9,4,-2,-3,9,9,1,-2,0,-1,3,1,-2,0,2,0,0,0,-1,0,1,3,3,-1,2,4,9,4,9,0,2,9,-3,9,-2,2,1,4,-1,2,2,1,4,1
19,Groesbeek,272,1,1,4,2,-2,1,2,1,-3,-2,1,1,9,0,1,1,0,0,9,-3,1,4,0,-1,4,1,4,2,4,-1,-2,4,-2,9,-2,-1,9,9,1,1,1,1,4,-1,4,9,9,-1,2,9,2,1,1,0,-1,9,2,9,-3,2,2,4,1,4,-3,4,0,9,4,9,9,9,1,4,4,0,-1,1,0,4,-2,-1,9,3,4,-1,-3,-2,-3,4,1,0,1,1,3,9,-1,1,9,1,4,2,-1,1,-3,1,2,9,4,1,1,3,1,1,3,9,3,1,1,-2,2,4
20,Harderwijk,263,-1,-1,1,1,-1,4,0,9,4,3,1,4,0,4,4,-2,9,-2,9,1,9,4,0,1,3,1,1,-3,3,-3,4,9,3,9,0,1,3,9,1,0,1,1,-1,1,9,-2,3,1,1,9,1,1,4,-2,1,4,9,1,3,9,-3,9,1,9,9,1,1,-2,1,9,1,-1,4,3,-3,-1,0,0,-2,-2,1,2,-2,-3,1,-1,4,-3,0,-2,9,-3,9,0,1,9,0,-3,1,-1,9,1,-3,2,-1,1,9,1,2,-1,1,0,9,1,1,-3,1,2,9,9,4,0
21,Hattem,271,4,-2,4,0,3,-1,2,4,1,9,1,0,9,0,2,-3,4,1,4,0,9,9,4,4,9,2,3,1,1,4,0,3,4,9,1,-3,4,1,1,9,1,0,0,0,1,0,0,4,1,-1,9,1,9,9,0,-1,-2,2,1,9,9,1,4,-2,4,1,1,4,1,-1,4,9,-3,3,4,-1,0,0,0,1,1,1,1,-3,9,-2,1,1,1,-3,1,-1,9,9,9,2,0,2,-2,0,2,0,0,-1,4,4,-2,4,-3,1,4,1,3,4,-2,2,1,9,0,4,1,0
22,Heerde,234,3,3,0,-3,1,-2,0,0,-3,1,-2,1,-2,2,3,1,0,2,-1,3,1,1,1,1,4,3,0,1,-3,4,3,-1,1,-1,0,0,1,3,0,3,0,2,1,0,-2,4,-1,-1,0,9,9,9,4,1,-2,9,9,9,4,-2,4,1,2,9,4,0,9,-2,2,0,0,1,0,1,9,-2,9,4,1,1,0,-3,1,1,3,1,-3,-1,4,1,4,-3,4,-1,-1,3,-1,9,0,0,4,4,1,9,4,4,9,-2,1,-3,-3,4,9,3,2,4,9,0,-1,9,4,1
23,Hengelo,251,0,2,9,0,-2,3,-2,0,-1,9,0,2,0,-2,0,3,0,3,2,0,1,-3,3,4,2,2,9,1,-1,9,2,1,0,0,0,-2,0,-3,9,1,-3,-2,4,9,4,1,3,2,4,9,4,-3,9,1,2,4,-2,0,-2,-1,1,-1,1,2,0,3,1,9,1,1,0,9,3,4,3,-2,1,0,4,-2,4,-1,4,9,9,9,9,-2,-1,1,1,4,9,-2,0,-1,-1,9,2,-2,-2,1,-1,4,3,1,9,9,4,0,4,-2,-1,9,4,-2,1,-1,4,0,1,4
24,Heumen,207,1,3,0,4,4,1,0,0,9,4,1,3,9,1,1,1,-2,4,0,-1,4,9,-2,4,-1,1,-2,1,-3,1,4,-3,-2,1,3,0,1,2,-1,-3,-2,1,0,4,9,-2,9,-2,1,-1,1,-1,-2,1,-3,2,4,0,2,0,1,-2,-3,4,-2,-2,4,-1,1,9,-1,1,-3,-1,9,9,2,3,9,3,9,2,1,-1,9,-1,0,4,0,1,1,4,9,1,-3,4,9,0,0,1,1,3,1,0,9,-2,1,1,4,1,1,1,4,3,0,-1,0,-1,2,1,1,9
25,Hummelo en Keppel,273,3,0,-1,3,1,-2,1,9,9,4,4,1,1,4,4,9,2,9,4,9,0,1,9,0,-1,9,3,0,2,1,1,0,4,1,1,4,4,3,-1,0,1,4,9,1,4,2,2,-3,1,1,9,-3,3,4,1,1,2,1,-2,-3,-2,-1,9,4,-1,1,0,4,4,0,4,2,4,2,0,2,1,2,4,1,-1,0,1,2,9,9,2,9,-1,0,9,-1,9,-1,9,-2,-1,0,3,-2,-3,4,-2,-1,0,1,4,4,1,3,1,1,2,4,1,1,1,0,4,3,0,1
26,Kesteren,239,1,9,-1,0,9,-3,9,-3,-2,0,0,4,0,1,-1,9,9,-2,0,4,0,0,3,2,3,1,2,4,3,0,-2,9,1,2,4,9,9,4,9,1,1,9,4,-3,0,1,0,4,2,9,9,0,-3,4,4,1,4,2,-1,3,-1,3,2,1,1,1,0,-1,-3,0,4,9,2,1,1,1,3,2,3,3,1,2,4,-3,9,1,4,0,-2,2,1,0,-2,4,0,-1,4,4,-3,4,0,1,1,-1,-2,0,1,1,1,1,0,1,0,1,3,4,1,-3,0,-1,3,9
27,Lichtenvoorde,277,3,0,1,1,1,0,3,4,-3,0,4,4,4,3,1,0,4,4,4,4,1,0,-2,-1,-3,2,1,3,-1,1,2,0,4,4,9,-1,0,4,4,3,9,4,3,9,4,1,1,-2,4,1,0,9,4,9,2,4,4,9,1,1,2,9,4,0,2,1,-2,9,-3,0,1,4,-2,0,-1,4,3,9,1,1,2,3,4,1,0,0,9,9,9,-2,0,-3,4,9,1,1,0,-1,2,0,4,0,1,-1,4,9,-1,4,0,3,1,-1,-3,9,1,1,4,0,3,0,1,-1
28,Lingewaal,263,-3,0,0,4,1,0,9,1,0,1,0,-1,3,9,4,3,4,4,-2,4,0,-3,-1,3,4,1,1,-2,3,4,-2,2,2,1,0,1,0,4,4,-1,1,9,1,1,1,9,4,-2,2,0,2,-3,-3,1,9,-3,9,9,-3,3,-2,4,0,1,1,4,1,0,0,0,4,4,1,2,1,4,1,9,2,3,0,1,1,-1,1,1,1,9,-1,1,4,9,4,9,1,9,0,4,3,2,2,9,9,1,0,4,9,9,9,-3,4,9,0,-3,0,0,0,3,-3,-3,2,-2
29,Lingewaard,252,-3,4,9,9,9,-1,1,4,1,1,3,3,4,-3,9,3,4,-1,0,9,2,9,1,-2,-2,9,4,-3,0,0,4,1,2,1,4,9,4,9,-3,1,1,-1,0,1,9,-3,1,0,3,4,1,0,0,3,1,2,1,1,1,3,-1,0,-3,0,1,1,9,-2,4,2,9,4,1,1,9,-3,1,-2,0,4,9,0,-1,-3,4,1,4,9,2,1,-2,-3,4,4,4,9,0,0,-2,4,-2,-1,0,1,4,9,2,2,-3,-2,4,2,4,2,3,0,0,1,1,-2,4,1
30,Lochem,216,4,-2,-1,4,4,9,2,0,9,0,1,0,-3,4,1,2,0,2,-1,1,9,-3,-3,0,-2,1,-3,1,0,3,0,9,3,4,0,1,4,1,1,3,-3,2,-3,9,1,-3,4,4,3,1,9,4,2,1,9,-3,1,-1,3,9,1,3,4,-3,0,2,3,9,9,-2,4,4,0,1,-2,0,0,1,4,2,1,-1,4,0,-1,1,4,4,-1,-3,1,0,-3,4,9,1,1,-1,-3,9,4,-1,9,1,2,-3,1,0,3,1,-3,1,1,4,4,-2,3,-3,-1,-3,9,9
31,Spiere-Helkijn,241,3,0,0,9,3,-3,1,-1,-2,3,0,4,2,9,-3,9,3,9,4,1,2,3,0,-2,1,-1,9,4,4,3,4,-3,0,1,1,1,3,1,1,9,4,1,-1,9,1,4,2,-1,1,0,1,1,3,3,0,4,-2,1,1,4,-1,1,9,1,-1,2,9,-3,-3,1,1,1,3,1,0,9,4,4,-3,0,-2,-1,4,-3,3,4,0,0,-2,0,9,4,-2,-2,4,1,4,0,4,-3,4,-1,9,0,0,4,1,-1,4,0,1,2,4,4,9,4,9,0,2,4,-2,-1
32,Maasdriel,196,4,-1,4,-2,1,4,9,2,1,1,0,9,3,1,-1,2,-2,4,1,1,3,1,4,-3,0,-1,-3,-2,0,0,1,3,2,2,-2,4,0,-2,9,-2,-3,-3,1,4,2,9,1,1,1,0,1,4,4,1,-3,-2,4,4,4,4,0,3,9,-2,3,-2,-2,9,-2,1,4,2,-3,4,-3,3,1,1,1,-1,0,2,0,3,4,1,2,0,-1,9,1,1,1,-1,9,1,4,-1,1,-1,2,9,1,4,-2,1,1,3,0,-1,1,2,9,-1,3,0,1,0,9,4,-1,1
33,Millingen aan de Rijn,301,9,4,1,3,9,9,9,1,-1,-1,0,0,4,1,2,1,1,9,-2,9,-1,-1,0,-2,0,-2,3,9,4,9,4,1,0,1,9,9,-3,1,0,-3,-2,4,0,4,9,4,-1,1,-2,1,-1,3,0,3,2,2,9,3,9,0,1,-2,-3,4,9,0,3,3,3,1,0,0,1,-2,9,4,9,1,9,0,1,4,-1,2,0,-3,9,1,2,-1,9,9,0,1,9,1,-3,4,0,1,-3,4,-1,2,1,2,4,4,-3,1,4,1,9,9,0,4,1,2,2,4,1,4
34,Neede,223,2,3,-2,-1,1,1,-2,9,1,9,9,4,4,9,-1,9,-2,0,2,1,4,1,1,1,1,-1,1,1,1,4,4,-2,0,-1,1,1,3,-3,2,9,1,-2,-2,0,1,-3,0,3,1,0,1,0,1,2,1,9,4,1,1,1,-2,0,-3,1,4,2,-2,9,0,4,-3,3,9,2,-1,1,1,9,9,9,-2,3,-3,4,9,3,4,9,0,-1,0,1,0,-2,3,1,0,1,1,3,2,4,-2,9,1,9,1,1,0,-2,1,-1,9,1,1,-3,0,2,1,0,0,-1
35,Neerijnen,225,1,0,1,1,4,3,-1,-3,1,0,9,0,-1,-2,-3,2,1,3,-3,9,3,-3,1,9,-2,-1,4,3,-1,9,9,1,3,3,4,1,9,0,2,1,-3,4,2,9,0,1,0,1,4,4,1,-3,4,4,4,4,3,1,0,2,-3,-1,0,0,-2,-3,9,4,-1,1,1,2,1,2,3,1,4,1,1,0,1,4,-2,1,2,0,2,1,9,3,2,4,1,1,4,0,4,9,4,9,4,-2,1,1,0,0,-1,3,1,2,1,-2,1,0,0,0,1,9,0,0,9,-1
36,Nijkerk,236,1,1,-3,-2,0,9,4,3,2,-3,1,-1,0,2,9,-1,-2,0,4,4,9,3,0,-1,9,-2,1,-3,4,1,2,-2,4,-2,4,1,4,-3,-3,4,9,1,1,0,9,3,4,0,9,4,-1,-2,2,-1,0,3,4,0,2,9,1,1,0,0,1,9,2,-3,9,4,0,4,9,2,-3,-2,-3,9,0,-1,-3,0,2,3,9,-3,3,-2,2,1,4,0,-2,-1,4,4,0,4,0,-3,-1,9,4,9,-2,0,9,0,9,-1,-1,9,9,0,-2,4,1,-2,1,3,3,0
37,Nijmegen,280,-3,1,4,0,3,4,-3,0,1,9,4,-1,0,2,-1,-2,9,-1,-2,1,0,9,9,1,9,2,9,9,0,9,-2,4,9,3,1,3,1,-1,2,1,1,-3,1,-2,4,3,-3,9,-1,9,-3,-1,1,-3,0,4,0,1,-2,0,2,-2,0,0,9,0,9,-1,9,2,3,4,1,4,4,1,0,1,0,1,4,1,9,3,4,1,0,-2,1,1,-3,1,-1,4,-2,9,9,4,2,3,0,4,1,1,9,1,0,0,0,-2,9,9,9,-1,4,1,1,0,9,2,9,1
38,Nunspeet,200,-3,3,-3,1,-2,-2,1,2,0,9,1,-3,4,1,1,3,4,1,9,0,3,3,3,1,4,9,-2,4,4,3,1,4,-2,0,9,0,-3,1,2,1,2,2,1,1,-2,9,9,1,0,1,0,9,4,0,4,9,-2,2,-3,0,4,-3,0,4,0,1,1,4,-2,-3,1,1,-2,0,4,9,-2,4,-3,-1,9,-1,-1,3,0,4,-1,3,1,0,2,0,4,-3,1,1,-3,-2,0,9,-3,0,-2,4,9,9,1,-1,1,-2,-1,4,0,1,-2,9,0,3,1,0,3,4
39,Oldebroek,271,2,1,3,9,1,0,4,-2,-2,1,0,1,4,2,9,9,1,-3,4,0,4,0,1,3,0,-3,1,3,1,1,4,9,-1,9,9,3,1,9,1,-3,9,-3,-1,-3,1,1,-3,1,4,2,1,4,9,0,4,9,4,-3,9,4,9,-2,3,0,3,1,9,1,2,0,2,-1,1,1,4,-1,0,3,0,0,3,1,1,1,2,1,-3,3,3,9,9,3,1,1,-1,0,-3,-2,4,1,1,-3,2,-1,9,0,-3,9,0,-2,9,0,1,-2,9,9,4,3,4,1,3,4
40,Overbetuwe,171,9,1,1,1,1,0,2,4,9,0,9,0,0,4,1,2,4,0,9,-1,2,1,-2,-1,2,-1,-3,-3,2,1,-2,1,9,-2,3,0,9,1,2,-2,9,1,9,-3,1,4,0,-2,1,-3,3,2,1,0,-1,1,1,1,2,9,-3,-3,-1,4,3,9,-1,4,1,0,0,-1,-1,4,-3,9,-3,0,-3,4,-1,0,0,1,0,9,-3,0,0,3,0,1,1,0,1,-1,2,-1,-3,9,-2,1,1,9,1,1,1,4,1,-2,1,4,-2,1,1,3,1,1,-3,-2,4,1
41,Putten,302,4,0,3,9,-2,9,3,1,0,0,3,9,9,4,4,9,2,1,0,9,-3,1,9,9,2,1,0,1,4,0,0,4,9,9,1,1,1,1,4,0,1,-1,9,0,-2,2,9,9,0,1,-1,9,0,0,-1,1,1,4,2,9,4,9,9,-2,4,1,1,1,1,-1,2,-2,9,-2,1,4,2,1,0,0,0,2,0,2,0,1,1,2,0,3,0,-2,9,9,0,-2,-3,9,1,3,4,9,0,-2,1,9,-1,1,1,2,-3,0,-1,1,1,2,2,9,1,-3,0,9
42,Renkum,258,-2,-2,9,1,1,2,1,-2,-3,9,3,-2,2,3,1,9,1,9,1,3,1,1,-2,1,-1,0,0,9,4,3,0,4,-3,4,2,0,-1,0,-2,1,3,0,0,1,-3,1,9,-1,0,-1,-3,9,4,2,1,1,4,1,9,4,9,-2,1,1,9,4,9,3,3,-1,1,2,1,0,3,3,1,9,9,-3,4,3,1,1,0,9,9,-1,1,-3,1,1,-2,3,3,0,-3,-2,9,9,-3,1,-2,-2,4,4,9,1,9,4,9,1,1,4,0,1,1,-2,0,1,2,4
43,Rheden,202,3,3,4,-3,0,1,-1,2,3,0,3,9,0,1,1,4,4,0,4,1,2,-2,1,-3,-1,-1,3,1,0,1,9,1,1,-3,-1,1,9,-2,0,0,4,1,-1,2,3,0,3,-3,-3,4,0,-3,1,1,4,0,1,1,9,2,1,1,9,1,0,1,3,1,1,4,0,-1,1,9,9,2,3,9,1,1,1,0,0,-1,-2,1,3,2,9,4,4,2,-3,4,1,1,-2,3,9,1,9,2,9,-3,-2,1,1,-1,2,1,0,4,1,-2,0,-2,4,-3,9,0,-1,-1
44,Rijnwaarden,192,4,1,9,0,1,1,1,-2,4,-2,0,1,1,1,-3,4,4,4,3,-2,-1,9,-2,2,0,0,9,2,3,9,0,4,-3,4,0,1,-2,1,9,4,1,1,1,3,-2,-2,3,1,0,0,4,2,3,1,1,2,-2,-3,9,9,2,0,-1,0,1,2,-2,9,2,-3,4,3,0,0,4,-1,1,-3,9,0,-3,2,1,1,3,1,0,-3,0,-3,3,1,-2,2,-3,1,-1,9,1,-3,1,1,9,2,1,-2,1,9,1,1,-1,-1,-1,1,-3,0,4,1,4,9,9,1
45,Rozendaal,248,1,-2,-1,1,4,-3,0,1,9,0,1,-1,4,1,4,1,2,0,2,1,9,1,0,-2,0,1,2,3,0,-2,9,-1,-3,3,2,2,9,9,9,-1,0,-1,0,1,9,0,4,3,4,1,2,2,0,1,-1,3,0,-2,0,0,4,9,4,9,4,-3,4,4,9,1,2,0,-3,1,0,1,3,3,-1,1,4,-1,-2,4,1,1,9,9,4,-1,3,4,4,-3,-3,0,1,1,0,9,0,9,9,1,3,1,1,-2,1,1,4,4,9,2,0,4,-1,3,9,-2,-3,-2
46,Ruurlo,246,0,0,-1,1,1,0,9,1,9,-2,-3,9,0,2,0,1,-3,1,0,2,0,1,1,1,1,2,-2,4,2,-2,2,0,2,1,1,4,4,9,4,2,0,3,-1,3,1,4,9,0,-3,2,-3,0,-3,9,4,-1,2,9,9,1,3,4,0,9,-2,4,9,1,1,0,2,4,9,-1,1,1,0,9,9,0,0,1,9,1,9,4,1,2,4,1,1,-2,0,-3,4,-2,9,-3,0,1,0,1,1,1,0,1,2,4,9,1,0,1,4,4,9,-2,1,0,2,-3,1,0
