e,name,sum,Good food,Music,Live music,Outdoor exercise,Swimming,Food,Much food,Burgers,Fast Food,Midnight service,Service,Types of food,Conscious food,Snacks,Crowdedness,Ingredients,Bacon,Grapes,Ham,Dishes,Hash browns,Hiking,Internet,Drinks,Coffee,Atmosphere,Kitchens,Indian kitchen,Romantic atmosphere,Market,Culture,Art,History,Architecture,Experience,Thrill,Local culture,Local people,Walking,Relaxing,Outdoor,Picnics,Chips,Craftmanship,Alcoholic drinks,Modern art,Traditional local culture,Fun,Animals,Dolphins,Adventure,Going out,Vegetarian food,Healthy food,Good drinks,Cocktails,Dancing,Cheap,Museums,Beer,Outdoor food,Pub food,Squalor,Scottish food,Italian food,Pizzas,Shopping,Souvenirs,Authentic souvenirs,Beautiful experience,Beautiful view,Convenience,Comfort,Comfortable seats,Nature,Peaceful atmosphere,Driving,Driving a boat,Fruit,Meat,Ice cream,Local food,Vegetables,Cinema,Arthouse films,Train rides,Weddings,Bagles,Non-alcoholic drinks,Chocolate drinks,Paninis,Social atmosphere,Cheesecakes,Purchasing art,Waterfalls,Fishing,Fly fishing,Late night service,Spas,Wine,Body art,Tattoos,Piercings,Jazz,Blues,Sea views,Quiet atmosphere,Gardens,Cider,Excitement,Massage,Beautiful sights,Cycling,Mountain biking
15,Gendringen,216,1,-3,1,0,0,9,9,1,3,4,1,9,0,3,4,0,1,-2,0,4,1,-3,2,9,-1,4,9,3,0,-3,2,1,1,9,-3,-2,4,1,1,3,9,3,0,2,-3,1,4,9,3,1,-2,3,1,1,-1,2,4,-1,9,9,0,0,0,1,4,4,1,0,1,0,-3,-1,1,-3,4,9,1,9,0,-3,4,-1,-3,-1,-2,-1,0,2,1,4,9,1,1,1,3,-2,0,0,-1,1,0,4,9,9,0,4,9,0,1,3,0,-3,1,1
16,Gorssel,255,-3,9,1,1,1,9,-3,1,1,1,0,3,9,1,1,1,1,9,4,2,1,1,1,1,-2,-3,9,-3,1,3,9,2,2,4,-3,9,1,9,9,0,3,2,0,-2,9,3,1,3,4,1,3,-3,0,1,-3,0,4,-3,-1,-2,1,3,2,1,9,0,2,1,2,9,9,3,4,1,3,0,-3,1,0,3,4,-3,1,0,4,9,9,1,1,-3,9,9,1,0,-3,-3,1,1,-2,9,4,9,0,1,9,0,1,3,1,0,3,3,1,4
17,Groenlo,215,-1,1,0,4,4,0,-3,4,-2,3,1,9,9,2,9,3,9,4,2,-2,4,-3,0,1,2,9,2,4,1,-2,0,1,1,4,-2,-3,9,2,1,2,1,4,2,4,-2,-3,1,4,2,-2,9,1,2,3,1,-3,-1,-2,9,1,0,-3,9,1,-3,-2,0,-2,9,9,9,9,1,2,-1,1,4,9,1,9,2,2,4,9,1,1,-3,4,1,4,-2,-2,-1,-1,2,1,-1,1,0,4,-2,4,1,1,0,1,1,-1,0,1,2,-2,3,-2
18,Belgium,252,4,1,-2,0,9,-2,-2,-3,-3,9,1,4,1,-2,-2,1,2,4,9,0,4,4,2,1,4,0,1,4,1,-1,3,1,0,1,9,1,1,-1,9,1,3,1,1,-3,-2,0,4,2,0,3,-2,9,4,4,2,1,9,0,9,4,9,1,9,9,9,1,3,9,1,0,4,0,3,0,0,3,-3,9,4,1,0,-2,-2,9,3,4,0,-1,9,-3,0,1,2,1,9,0,-1,-1,-1,0,4,-2,3,3,0,2,4,1,1,0,0,1,9,4
19,Groesbeek,176,1,0,9,-1,0,9,1,3,0,4,1,3,4,4,9,3,-3,9,-2,-2,4,-3,0,-3,-3,4,4,2,0,-3,4,-2,1,1,-1,4,1,0,4,9,1,2,-3,-3,1,-3,1,0,-3,1,0,0,3,-2,0,9,0,-3,1,9,0,4,1,-1,-1,0,2,4,-3,-1,4,-3,-2,2,1,9,0,1,1,-1,3,9,1,1,-3,1,-1,4,0,-1,4,9,-3,1,4,4,0,-1,0,1,9,0,2,3,1,9,0,1,-2,4,2,9,1,1
20,Harderwijk,145,-2,0,-2,1,9,4,1,4,9,-1,-3,1,-2,3,0,1,0,4,0,1,1,1,-3,2,4,3,0,1,-2,-3,-3,9,3,4,4,2,9,-1,3,-2,1,1,1,9,0,9,-1,0,-2,-3,-1,0,0,1,0,-2,1,0,0,3,2,-1,1,1,2,2,-3,9,1,1,-3,-1,9,9,1,-1,9,9,3,0,4,-3,4,-3,0,-1,0,2,-3,4,9,2,1,2,0,9,-3,-3,4,-3,0,-2,-3,-1,-2,4,1,0,1,1,-3,-2,4,-2
21,Hattem,267,9,1,9,4,0,0,1,1,-2,2,1,4,1,1,3,1,4,4,0,1,2,2,4,1,9,0,9,-2,1,3,9,9,0,4,1,9,-3,1,-1,-1,-1,1,0,1,9,3,4,2,1,-2,1,1,4,9,2,9,1,9,-2,2,9,1,4,-3,1,9,4,3,1,1,-1,-1,0,9,1,0,1,-1,3,9,-2,4,2,4,4,-1,4,0,-2,0,9,2,4,1,3,4,2,4,1,0,0,-1,4,4,-1,4,2,4,-1,-2,-3,3,2,3
22,Heerde,143,3,4,2,1,3,4,2,-2,4,3,3,4,-3,4,4,0,0,1,-2,1,-2,1,2,-2,1,-1,1,1,1,3,-1,0,1,-2,0,1,0,4,1,0,-2,0,0,3,4,1,1,-2,9,1,9,9,0,0,9,-2,-2,1,-3,4,-2,-1,1,1,9,-3,0,-3,9,1,-1,1,-1,0,4,-1,-1,1,0,1,1,1,1,0,-2,-1,-3,2,4,1,1,0,-1,-3,-1,4,2,3,0,4,4,1,0,1,-3,1,4,3,-3,1,9,1,2,9
23,Hengelo,227,1,1,4,0,-2,9,-2,-3,9,0,-2,9,2,2,-1,4,4,9,-1,9,-2,1,-2,0,4,1,4,9,-1,1,1,1,-1,0,2,1,9,0,3,3,1,1,3,-2,-2,9,9,2,1,9,0,1,-3,9,0,1,-3,-3,1,4,1,1,4,-2,4,0,0,1,3,-3,2,3,2,-3,4,-2,-1,1,-2,4,-2,9,-2,-2,4,4,-2,0,9,9,9,3,-3,1,4,9,9,-3,1,4,-1,1,-3,0,4,2,9,1,-2,9,-2,4,-1,4
24,Heumen,148,0,9,4,2,9,9,-3,0,1,-3,3,4,9,1,-1,3,1,2,-2,-2,-3,-2,1,4,-1,3,0,3,-3,1,0,9,4,1,9,4,0,-3,0,1,4,2,0,0,1,4,0,1,1,-1,-2,1,-1,3,0,2,-3,-1,-2,-2,-2,9,9,-3,1,3,-1,1,2,3,0,-2,4,0,-1,2,3,9,3,1,3,4,0,1,-2,0,1,2,3,3,1,1,-3,2,-3,-2,2,1,4,1,0,-1,-3,2,-2,-2,-3,1,9,1,3,0,0,2
25,Hummelo en Keppel,186,4,-2,9,0,-2,-3,2,1,-3,-2,4,1,-2,-1,4,4,-3,0,3,1,-3,-2,9,0,-2,2,-1,9,3,1,1,9,4,-2,0,-3,1,9,1,0,1,-2,0,9,9,1,9,1,-2,0,1,0,2,-1,-2,4,2,0,9,-2,-2,4,9,9,2,3,9,4,-3,0,-1,0,4,-1,-3,9,9,4,1,-3,0,9,3,1,0,-3,2,1,4,-1,1,1,2,4,2,9,0,0,1,0,0,-1,2,-2,1,1,1,2,-3,0,4,-3,4,0
26,Kesteren,248,4,9,-3,1,1,9,0,3,-3,4,1,1,9,0,-2,9,4,9,4,3,9,1,0,-1,-2,1,-3,-2,1,-1,4,9,3,2,1,4,1,0,9,1,4,9,9,4,4,0,-3,2,1,0,3,2,-1,1,2,4,-1,4,-2,1,-2,0,0,2,3,4,3,2,2,-2,0,1,4,-2,9,9,3,9,1,1,1,9,-2,-3,-1,3,0,4,-3,-1,0,-2,9,2,2,9,1,3,9,1,0,3,4,0,-1,0,4,1,1,1,-1,-1,4,2
27,Lichtenvoorde,262,0,4,9,1,-1,1,-2,1,1,-2,2,-1,1,2,0,0,-3,-3,1,9,0,9,4,1,1,-1,0,4,1,1,-2,9,0,1,1,3,-2,9,9,0,4,-2,9,4,0,0,9,1,3,1,0,2,4,9,2,-2,4,0,4,1,0,4,4,9,4,-2,9,3,1,9,9,0,1,9,0,9,1,1,4,4,9,0,1,2,1,0,9,4,2,1,4,1,4,2,4,3,1,-3,1,4,2,-2,-1,4,-1,-1,4,1,2,3,1,3,-3,0
28,Lingewaal,208,4,2,-2,-1,1,0,-3,-3,1,-1,1,2,0,1,9,9,1,-1,0,4,0,1,9,0,1,1,3,1,-1,4,-1,2,1,0,9,4,1,9,4,1,0,4,9,-2,4,-3,0,2,-1,-2,9,9,-2,1,-2,-3,0,-2,1,-1,0,2,9,1,1,-2,-3,9,2,-3,-1,2,1,0,0,-1,-3,9,4,1,-2,1,3,2,-3,9,0,9,-3,1,1,-3,1,1,-1,9,9,1,9,0,0,9,2,1,9,0,3,-1,1,2,4,2,1,9
29,Lingewaard,227,-2,9,2,0,2,2,1,1,2,9,-3,3,1,9,-3,9,1,9,4,4,9,0,2,-3,1,4,4,4,1,4,-2,0,-3,0,0,-3,9,1,0,4,-3,0,1,9,-2,0,3,-3,9,1,4,0,3,-3,-3,-3,0,4,-3,-2,1,1,9,3,-1,2,1,4,-3,1,3,3,0,2,4,1,9,0,9,-1,-1,1,-2,9,0,0,-3,1,4,0,4,3,1,-1,0,0,-2,9,9,-3,-2,9,9,4,3,2,4,1,1,1,-3,-1,9,9
30,Lochem,204,-1,4,9,3,1,1,3,-3,9,0,3,4,-1,2,0,1,4,3,0,9,2,1,0,1,1,-3,9,1,1,-1,-2,1,4,1,3,-2,-1,1,-3,1,3,-1,0,0,0,-3,-2,0,-1,2,1,4,0,-2,9,4,2,4,1,-2,3,1,4,1,9,0,1,0,-2,1,1,-2,-3,4,4,1,1,4,9,-1,3,-1,1,1,3,-1,0,4,4,1,4,9,0,4,-2,0,1,-2,4,4,2,9,9,4,3,4,1,1,1,0,4,1,3,4
31,Spiere-Helkijn,247,3,2,9,-2,3,-2,9,1,4,1,-3,0,1,9,0,1,1,1,9,4,3,4,-1,0,1,4,-1,2,4,3,4,-2,4,9,1,1,-2,4,9,1,1,2,1,0,1,9,1,4,2,9,1,-3,3,0,-1,9,-1,1,9,1,1,0,4,-2,9,9,1,4,-2,4,-1,-2,-1,2,4,9,9,-2,0,9,4,0,1,-3,-3,-1,-1,-2,9,1,0,-1,-1,1,-3,9,-2,4,-1,3,9,4,9,3,-1,0,9,0,0,-3,-3,0,2,1
32,Maasdriel,219,0,0,0,4,0,1,4,0,3,3,1,9,-3,3,4,2,1,1,0,1,0,9,4,-2,4,-1,3,-1,4,4,1,1,-2,4,4,-1,9,3,9,9,9,4,0,-3,1,4,1,-3,1,4,-3,1,1,2,4,-1,0,0,9,-3,0,2,1,9,0,0,9,0,9,1,-2,1,-2,4,1,2,-1,0,0,0,1,4,9,3,2,1,4,9,0,0,1,1,9,0,4,1,-3,2,1,1,1,4,1,4,1,9,-3,1,-1,1,-3,0,0,-3
33,Millingen aan de Rijn,263,2,3,-2,9,0,4,1,-2,1,4,1,2,0,-2,4,1,1,4,-3,1,-2,2,4,-2,0,4,2,4,3,1,1,1,4,1,0,1,2,2,-1,-3,4,1,4,1,1,0,0,4,4,-3,3,9,4,3,9,9,-1,3,9,9,0,1,4,0,2,4,4,0,1,9,0,-1,9,1,3,3,-2,1,1,0,1,9,9,2,4,1,0,9,9,9,1,1,1,0,-2,1,9,9,4,3,-2,4,-2,1,1,2,3,2,-1,9,-1,-2,3,0
34,Neede,177,1,0,-3,0,4,-1,2,2,9,4,1,4,1,1,-3,-2,9,4,1,1,4,9,3,-1,4,0,0,9,-2,4,-2,0,9,1,0,0,4,4,-1,9,1,-3,9,-3,-3,2,0,2,-3,4,4,1,1,2,0,0,2,1,9,1,1,9,1,9,3,1,3,0,2,1,1,2,2,0,-3,3,-1,-2,1,9,-3,-3,4,0,4,1,4,-2,0,-1,-3,4,9,-3,-1,-2,-3,-2,-2,-3,9,1,1,-1,0,-1,0,1,0,0,1,-3,9,4
35,Neerijnen,192,9,2,0,9,-2,1,-3,1,1,9,-2,1,2,1,9,1,4,2,9,1,1,3,-1,4,0,4,1,-1,9,-2,0,9,0,1,1,0,2,9,0,2,1,-2,1,9,-3,1,-2,-3,2,1,1,-3,9,0,1,2,9,9,-2,0,2,-1,1,1,-3,-2,-3,-1,0,2,-1,-3,9,9,9,4,-3,-2,0,-2,2,0,4,-3,4,0,3,2,1,9,-1,1,4,-2,-3,4,1,-3,-1,1,4,-1,-3,1,2,1,1,0,4,4,9,-1,2,2
36,Nijkerk,263,0,-2,4,2,-1,-2,-2,1,1,9,1,1,0,1,9,0,1,0,1,9,4,4,-3,4,9,2,9,1,3,9,4,-1,-1,9,-3,-3,4,1,1,-3,9,4,2,-3,4,4,-2,9,1,9,-1,1,4,3,-1,9,-2,0,-3,9,3,3,1,0,-2,0,-2,9,4,4,0,1,0,2,4,9,0,1,-3,0,9,-1,-3,-1,3,0,0,3,2,-2,4,9,1,9,9,9,9,0,2,9,4,-1,3,-2,4,-3,3,0,2,1,2,0,4,2
37,Nijmegen,186,1,1,-1,1,1,-2,-3,9,9,-3,9,-3,3,0,-1,1,1,2,4,1,4,9,1,-2,2,0,1,0,1,0,1,-2,1,-3,1,9,0,-1,1,4,-3,9,0,9,4,4,1,4,1,4,-1,4,0,3,9,-2,2,4,1,4,1,0,-2,-2,4,1,1,-2,9,1,3,-1,4,-3,4,4,2,0,-2,-1,9,0,-3,9,-2,2,-3,9,-1,1,-2,-2,2,4,1,-2,4,0,9,-2,1,-3,0,1,3,-3,3,9,4,-2,2,1,1,1
38,Nunspeet,148,-3,-2,-3,-3,-3,-2,1,-3,1,-3,-3,-3,9,-1,4,-1,1,0,-2,-1,0,2,-3,-3,1,1,-2,-3,2,0,0,9,-3,2,-2,0,4,9,4,9,3,-3,-2,-3,9,9,4,1,-1,9,0,1,2,-2,-3,-1,1,-3,-2,0,4,-2,-1,1,1,1,4,9,2,-2,4,9,4,4,1,1,-3,2,2,-3,4,0,1,3,9,3,1,1,9,1,4,-1,-1,3,1,-2,-2,0,-3,-1,1,2,9,4,9,1,0,3,-2,9,4,-1,3,9
39,Oldebroek,190,1,2,0,9,-2,-2,-1,0,0,0,-1,4,0,-1,1,2,1,4,-1,-3,9,1,2,4,1,9,1,-3,1,0,-1,1,-1,0,2,-3,1,-3,0,1,-1,1,9,2,2,-1,0,1,-3,0,-2,4,9,0,-1,-2,4,1,-1,-3,-3,1,-2,0,3,-1,9,1,1,4,0,9,1,4,4,3,2,0,1,-1,4,-1,9,9,9,9,-2,-1,0,-1,0,4,2,1,1,0,1,0,9,3,9,9,4,4,0,4,9,1,0,4,0,-1,1,0
40,Overbetuwe,256,3,0,4,4,0,1,2,1,1,-3,-1,-1,0,0,9,-3,4,3,0,9,1,9,0,1,4,0,0,9,2,4,2,-1,-3,-1,-2,1,-3,-2,9,1,2,4,9,-3,1,9,0,4,1,-3,2,9,3,9,0,9,0,-2,1,4,3,2,9,9,2,9,0,-2,0,4,1,9,0,4,4,9,4,4,9,0,3,3,0,0,3,2,2,3,-1,1,-2,0,1,2,4,1,9,2,0,-3,9,-2,0,4,3,-1,1,1,-2,-2,9,9,-3,-3
41,Putten,242,0,1,4,1,0,-3,1,9,1,9,1,1,9,0,1,1,4,3,-2,1,1,0,1,1,9,4,2,4,0,4,1,3,1,-3,0,9,4,1,3,1,1,4,-3,0,3,-3,-3,1,1,2,-2,3,1,3,-3,4,3,1,4,4,1,-2,-2,-3,3,4,3,4,1,9,2,1,2,-2,1,0,1,9,1,1,0,2,9,-2,0,-3,-3,4,9,-1,3,4,1,9,9,-3,9,4,3,9,-3,9,9,-3,1,1,4,9,4,-1,0,1,4,1
42,Renkum,152,1,4,4,1,4,4,0,-2,1,-3,-3,2,-2,0,-3,-2,2,0,3,4,1,4,4,2,-3,-2,0,9,1,-2,-1,3,1,-1,-2,4,1,-2,9,2,3,1,-1,0,-3,9,9,-3,4,2,1,-1,1,3,2,0,4,4,-2,1,9,0,1,-2,1,4,-1,-3,-3,-2,0,9,4,3,1,4,3,0,2,-3,-2,1,-3,-3,0,1,1,2,1,9,9,1,3,-3,-3,4,9,0,3,-1,2,-2,1,0,1,2,2,1,1,3,2,4,2,0
43,Rheden,176,-2,4,2,2,-3,1,1,-3,9,4,4,-2,9,-1,9,0,4,1,-2,9,3,0,2,-2,-1,0,3,1,1,-2,1,3,3,1,4,-2,4,0,1,-3,-2,4,-3,0,0,2,0,-1,0,2,0,-3,3,0,-1,-1,4,9,0,4,4,3,-3,4,4,-2,1,1,-2,1,4,4,4,1,0,0,-1,2,0,-3,4,1,3,-2,4,4,1,1,4,-1,0,4,3,9,9,-2,1,4,0,-3,2,3,9,9,2,4,1,-3,1,2,-2,1,4,-3
44,Rijnwaarden,235,9,-2,4,1,9,2,3,3,1,1,-3,-3,4,-3,3,2,0,-3,1,1,0,9,3,-2,9,4,3,-2,-2,-2,4,0,0,-2,-2,1,-2,0,9,0,3,4,1,-3,1,4,-2,-2,4,2,-3,1,1,4,0,2,4,9,4,1,9,9,0,0,-2,3,1,9,-3,0,-3,-3,2,0,-2,1,4,3,-3,1,9,0,0,2,9,3,4,9,1,1,4,4,4,-1,9,0,4,2,9,0,9,0,0,1,1,9,1,9,-2,1,4,2,-1,9
45,Rozendaal,246,4,4,-2,1,0,9,1,9,4,0,2,0,1,0,9,3,1,9,4,4,3,9,1,9,9,-3,3,-1,-2,9,-2,4,1,9,1,-2,1,9,3,1,-1,-2,2,2,0,4,1,9,1,3,1,0,3,-1,0,0,3,-3,3,1,0,2,3,-1,-3,3,4,1,-3,0,0,4,9,1,-1,1,1,0,4,-2,-1,3,2,9,-2,0,9,4,1,3,-1,4,4,4,0,1,9,0,1,1,0,9,1,-1,3,-3,-3,2,0,9,1,-3,2,4
46,Ruurlo,233,2,-1,0,0,-1,2,1,9,-3,-3,1,0,1,-2,0,4,0,-1,-2,9,0,1,0,9,9,0,1,-3,4,4,4,1,9,9,-2,-1,0,1,0,0,9,-1,-1,9,9,4,1,1,-1,9,1,-2,0,3,1,1,3,0,2,1,0,0,9,4,2,2,3,3,-1,9,-3,-3,4,2,1,9,9,9,4,3,9,4,0,2,3,3,1,1,-3,-1,1,9,1,3,0,0,1,2,4,1,-1,0,0,4,-2,0,1,3,2,1,0,0,4,3
47,Scherpenzeel,272,-3,9,4,9,0,-2,1,9,1,0,-2,-3,1,-1,9,0,9,-3,1,-2,4,4,9,0,3,1,9,-2,0,9,0,9,1,3,0,3,-3,2,4,-3,1,0,-1,-1,1,3,9,-2,3,3,1,9,-3,1,3,4,1,9,2,0,-3,4,4,1,1,-3,2,-3,0,4,-2,2,0,3,9,1,-1,9,4,9,1,3,2,9,-2,9,4,4,4,-2,4,4,1,4,2,4,9,9,1,9,0,-3,1,4,-3,2,4,1,0,4,1,9,-2,1
